2024-12-07 00:42:25 - IP: 192.168.1.19, Action: block
2024-12-07 00:42:25 - IP: 192.168.1.8, Action: allow
2024-12-07 00:42:25 - IP: 192.168.1.16, Action: block
2024-12-07 00:42:25 - IP: 192.168.1.2, Action: allow
2024-12-07 00:42:25 - IP: 192.168.1.0, Action: allow
2024-12-07 00:42:25 - IP: 192.168.1.4, Action: block
2024-12-07 00:42:25 - IP: 192.168.1.1, Action: block
2024-12-07 00:42:25 - IP: 192.168.1.7, Action: allow
2024-12-07 00:42:25 - IP: 192.168.1.0, Action: allow
2024-12-07 00:42:25 - IP: 192.168.1.10, Action: allow
2024-12-07 00:42:25 - IP: 192.168.1.18, Action: allow
2024-12-07 00:42:25 - IP: 192.168.1.2, Action: allow
2024-12-07 00:43:08 - IP: 192.168.1.5, Action: allow
2024-12-07 18:08:41 - IP: 192.168.1.6, Action: allow
2024-12-07 18:08:41 - IP: 192.168.1.17, Action: allow
2024-12-07 18:08:41 - IP: 192.168.1.3, Action: allow
2024-12-07 18:08:41 - IP: 192.168.1.9, Action: block
2024-12-07 18:08:41 - IP: 192.168.1.9, Action: block
2024-12-07 18:08:41 - IP: 192.168.1.2, Action: allow
2024-12-07 18:08:41 - IP: 192.168.1.5, Action: allow
2024-12-07 18:08:41 - IP: 192.168.1.7, Action: allow
2024-12-07 18:08:41 - IP: 192.168.1.11, Action: allow
2024-12-07 18:08:41 - IP: 192.168.1.1, Action: block
2024-12-07 18:08:41 - IP: 192.168.1.11, Action: allow
2024-12-07 18:08:41 - IP: 192.168.1.13, Action: block
2024-12-07 18:09:14 - IP: 192.168.1.3, Action: allow
2024-12-07 18:09:15 - IP: 192.168.1.12, Action: allow
2024-12-11 21:58:33 - IP: 192.168.1.11, Action: block
2024-12-11 21:58:33 - IP: 192.168.1.18, Action: allow
2024-12-11 21:58:33 - IP: 192.168.1.7, Action: allow
2024-12-11 21:58:33 - IP: 192.168.1.8, Action: allow
2024-12-11 21:58:33 - IP: 192.168.1.7, Action: allow
2024-12-11 21:58:33 - IP: 192.168.1.10, Action: allow
2024-12-11 21:58:33 - IP: 192.168.1.15, Action: allow
2024-12-11 21:58:33 - IP: 192.168.1.11, Action: block
2024-12-11 21:58:33 - IP: 192.168.1.8, Action: allow
2024-12-11 21:58:33 - IP: 192.168.1.3, Action: allow
2024-12-11 21:58:33 - IP: 192.168.1.1, Action: block
2024-12-11 21:58:33 - IP: 192.168.1.20, Action: allow
2024-12-11 23:11:37 - IP: 192.168.1.15, Action: allow
2024-12-11 23:13:40 - IP: 192.168.1.0, Action: allow
